Kết Quả Kinh Doanh, 2018,Q4 2018,Q3 2018,Q2 2018,Q1 2018
Kết Quả Kinh Doanh, 2018,Q4 2018,Q3 2018,Q2 2018,Q1 2018
,,,,,
Doanh Thu Thuần,"23,213,537","6,952,447","6,036,059","5,474,263","4,750,769"
Giá Vốn Hàng Bán,"14,490,658","4,381,236","3,740,389","3,473,590","2,895,208"
,,,,,
Lợi Nhuận Gộp,"8,722,879","2,571,211","2,295,670","2,000,673","1,855,560"
,,,,,
Chi phí hoạt động,,,,,
Chi phí tài chính,"361,047","89,173","66,603","70,017","142,295"
"238,344","74,811","62,036","55,089","46,409",
Chi phí bán hàng,"2,047,834","665,496","507,535","451,959","422,707"
Chi phí quản lý doanh nghiệp,"3,553,288","1,057,696","900,927","829,766","770,426"
,,,,,
Tổng Chi phí hoạt động,"5,962,169","1,812,365","1,475,065","1,351,742","1,335,428"
,,,,,
Tổng doanh thu hoạt động tài chính,"600,093","216,866","124,076","112,700","153,493"
,,,,,
Lợi nhuận thuần từ hoạt động kinh doanh,"3,799,831","1,086,435","1,057,301","879,552","771,386"
,,,,,
Lợi nhuận khác,"57,771","28,098","-6,624","26,762","9,392"
Tổng lợi nhuận kế toán trước thuế,"3,857,603","1,114,533","1,050,677","906,314","780,778"
Chi phí lợi nhuận,,,,,
Chi phí thuế TNDN hiện hành,"599,215","186,087","160,199","147,071","106,063"
Chi phí thuế TNDN hoãn lại,"24,391","2,014",215,215,"21,947"
Lợi ích của cổ đông thiểu số,"613,819","139,971","165,346","164,746","143,755"
,,,,,
Tổng Chi phí lợi nhuận,"1,237,425","328,072","325,760","312,032","271,765"
,,,,,
Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,,
,,,,,
Khối Lượng,"613,636,772","613,636,772","613,636,772","533,615,661","530,961,105"
,,,,,
Giá Cuối Kỳ,30.8,30.8,33.8,29.6,36.7
,,,,,
,,,,,
,,,,,
PE,5.9,6.2,5.6,4.4,5.4
,,,,,
Giá Sổ Sách,18.9,18.9,18.1,17.7,17.7
